Nome;Alg-Class;Alg-Class-Params;Tec-Desbal;Tec-Desbal-Params;Acuracia;Acuracia Balanceada;F1-Score;Macro F1-Score;AUC
CLF_110;KNN;{'n_jobs': -1, 'n_neighbors': 5};oversampling;-;0.8882577460879594;0.5446170193213408;0.09203969736568435;0.5161169562910706;0.566446461130709
CLF_111;KNN;{'n_jobs': -1, 'n_neighbors': 5};smote;5;0.8288671272400239;0.5776435316010752;0.10828765444896434;0.506486828598239;0.6124827053532081
CLF_112;KNN;{'n_jobs': -1, 'n_neighbors': 5};smote;10;0.8197750348011867;0.5861278057297769;0.11252774867325688;0.505713550736599;0.6252611166632206
CLF_113;KNN;{'n_jobs': -1, 'n_neighbors': 5};smote;15;0.8165478298474772;0.5844604498357342;0.10882281800691433;0.5029213288129586;0.6355746067748963
CLF_114;KNN;{'n_jobs': -1, 'n_neighbors': 5};adasyn;5;0.8271064131003071;0.5767339812070669;0.10615263742827956;0.5049185615941996;0.6059145446817753
CLF_115;KNN;{'n_jobs': -1, 'n_neighbors': 5};adasyn;10;0.8193353672574084;0.5902946447032875;0.11347654604949156;0.5060553170287234;0.6364010935218892
CLF_116;KNN;{'n_jobs': -1, 'n_neighbors': 5};adasyn;15;0.8174281331287935;0.5959001883888162;0.11573612799476593;0.5064834221687013;0.6344593533376358
CLF_117;KNN;{'n_jobs': -1, 'n_neighbors': 7};-;-;0.9667109167073666;0.5060606060606061;0.02647342995169082;0.5047693298960798;0.5794970167419595
CLF_118;KNN;{'n_jobs': -1, 'n_neighbors': 7};undersampling;-;0.5952610142797822;0.5777794242653985;0.08070040900860602;0.4092312190808064;0.6088100397976596
CLF_119;KNN;{'n_jobs': -1, 'n_neighbors': 7};oversampling;-;0.8709542947999388;0.5620403427757484;0.10625401061378995;0.5181569531351486;0.5784740936660004
CLF_12;AD;{'min_samples_leaf': 3, 'random_state': 42};smote;5;0.9168547472691557;0.7109821490109587;0.2988944811822257;0.6272214602520958;0.73391893902844
CLF_120;KNN;{'n_jobs': -1, 'n_neighbors': 7};smote;5;0.8125887779888679;0.5868087049417603;0.10907603025015589;0.501816781400956;0.6199169311315652
CLF_121;KNN;{'n_jobs': -1, 'n_neighbors': 7};smote;10;0.8058433720682554;0.5965053874606566;0.11436998346773705;0.5021894193722908;0.6345257541296208
CLF_122;KNN;{'n_jobs': -1, 'n_neighbors': 7};smote;15;0.8055508699758812;0.5941573620970891;0.11301214473529704;0.5013972302186975;0.6364480014494661
CLF_123;KNN;{'n_jobs': -1, 'n_neighbors': 7};adasyn;5;0.8136151709507449;0.5939299170629724;0.11461891845731031;0.5048623138232883;0.6144173992318247
CLF_124;KNN;{'n_jobs': -1, 'n_neighbors': 7};adasyn;10;0.8027640856055406;0.5949144783697475;0.11295709008240977;0.5005228257286143;0.634714551521835
CLF_125;KNN;{'n_jobs': -1, 'n_neighbors': 7};adasyn;15;0.8027637628742876;0.6015052725894272;0.11551149160777643;0.5017269146109118;0.6388330323184983
CLF_126;KNN;{'n_jobs': -1, 'n_neighbors': 11};-;-;0.967004064262247;0.49962121212121213;0.0;0.49161247297333394;0.6013168824679352
CLF_127;KNN;{'n_jobs': -1, 'n_neighbors': 11};undersampling;-;0.5841138767984199;0.5895953086589933;0.08436802260671168;0.4065232437454996;0.6113741301115087
CLF_128;KNN;{'n_jobs': -1, 'n_neighbors': 11};oversampling;-;0.8297476456755088;0.5759015094079537;0.10641616932587365;0.5057948858390777;0.5954880291125466
CLF_129;KNN;{'n_jobs': -1, 'n_neighbors': 11};smote;5;0.7886862256149645;0.5920345417786661;0.1077073664090741;0.4934635105209357;0.6296764077469158
CLF_13;AD;{'min_samples_leaf': 3, 'random_state': 42};smote;10;0.9126022251244128;0.660451788545041;0.24309034547775732;0.5981893540077963;0.7020365468037604
CLF_130;KNN;{'n_jobs': -1, 'n_neighbors': 11};smote;10;0.7807676915894084;0.5945344269074367;0.10682579434844972;0.49029460575261474;0.6421001228077869
CLF_131;KNN;{'n_jobs': -1, 'n_neighbors': 11};smote;15;0.7829676429645662;0.6022619293771683;0.11111683843126981;0.4931514463298489;0.64537035006485
CLF_132;KNN;{'n_jobs': -1, 'n_neighbors': 11};adasyn;5;0.7856062936897434;0.6014281365589175;0.11184742590243353;0.4944595331846745;0.6335433779869131
CLF_133;KNN;{'n_jobs': -1, 'n_neighbors': 11};adasyn;10;0.7801815040567319;0.6008223631309302;0.11026354053078649;0.49179230375694455;0.6411751091798821
CLF_134;KNN;{'n_jobs': -1, 'n_neighbors': 11};adasyn;15;0.7810610542984576;0.6056707905438004;0.11369006129526796;0.49373451782686956;0.6461143618798781
CLF_135;KNN;{'n_jobs': -1, 'n_neighbors': 13};-;-;0.9674439469601943;0.4998484848484848;0.0;0.4917262625151282;0.6057383230784654
CLF_136;KNN;{'n_jobs': -1, 'n_neighbors': 13};undersampling;-;0.5819090844544659;0.5862591609805408;0.08297155389674915;0.4052881263458791;0.6110186140995035
CLF_137;KNN;{'n_jobs': -1, 'n_neighbors': 13};oversampling;-;0.8125892082972055;0.5758240861993704;0.10237537037251591;0.4984767500254133;0.6008772232804299
CLF_138;KNN;{'n_jobs': -1, 'n_neighbors': 13};smote;5;0.7760752867467183;0.5921097824338916;0.10606359850666887;0.48848781634495547;0.6342686605701372
CLF_139;KNN;{'n_jobs': -1, 'n_neighbors': 13};smote;10;0.7702093234907472;0.5890791922255152;0.10185505810449787;0.4843790976153162;0.6455003581893788
CLF_14;AD;{'min_samples_leaf': 3, 'random_state': 42};smote;15;0.9172929087337531;0.6782541870563099;0.2528667660631528;0.6044506529565419;0.7253160172787215
CLF_140;KNN;{'n_jobs': -1, 'n_neighbors': 13};smote;15;0.7749020510646905;0.6002916006157097;0.1085569704018626;0.4892267855211293;0.6481645065654129
CLF_141;KNN;{'n_jobs': -1, 'n_neighbors': 13};adasyn;5;0.7751948758883178;0.598245858892182;0.108677925894243;0.48945266943073096;0.6335500091896983
CLF_142;KNN;{'n_jobs': -1, 'n_neighbors': 13};adasyn;10;0.7684502230072959;0.5925642704528225;0.10456048492476011;0.48506592586593145;0.6433504648107653
CLF_143;KNN;{'n_jobs': -1, 'n_neighbors': 13};adasyn;15;0.7693295580948529;0.5952155558618788;0.1064059251889983;0.48628440199592954;0.6506993451817784
CLF_144;KNN;{'n_jobs': -1, 'n_neighbors': 17};-;-;0.9675905745261767;0.4999242424242424;0.0;0.4917641734871583;0.6070267944974593
CLF_145;KNN;{'n_jobs': -1, 'n_neighbors': 17};undersampling;-;0.5838165337372494;0.5762597927723022;0.08052065600052292;0.40494850885286854;0.5996771792116492
CLF_146;KNN;{'n_jobs': -1, 'n_neighbors': 17};oversampling;-;0.7791540353240114;0.5695339674225194;0.09319561943954104;0.4832872387229627;0.6069915433889519
CLF_147;KNN;{'n_jobs': -1, 'n_neighbors': 17};smote;5;0.7568652467925892;0.5909724423920786;0.10225298945010122;0.4801485941370468;0.6448759234080415
CLF_148;KNN;{'n_jobs': -1, 'n_neighbors': 17};smote;10;0.7533453245923367;0.5935478553541479;0.10163410461705635;0.4785918432144588;0.6518325772717875
CLF_149;KNN;{'n_jobs': -1, 'n_neighbors': 17};smote;15;0.7570120895127403;0.5954422542330049;0.10444403056413512;0.48119587525885865;0.6509114000818719
CLF_15;AD;{'min_samples_leaf': 3, 'random_state': 42};adasyn;5;0.9117222445743497;0.6775730581018677;0.2606866055664877;0.6067049024834026;0.7106975516241748
CLF_150;KNN;{'n_jobs': -1, 'n_neighbors': 17};adasyn;5;0.7521726267957305;0.5929418521837021;0.1028299922234217;0.4787897909714804;0.6418067495201516
CLF_151;KNN;{'n_jobs': -1, 'n_neighbors': 17};adasyn;10;0.7505598311470083;0.5921086911572128;0.10141305433665875;0.4774808893525835;0.6452634114770979
CLF_152;KNN;{'n_jobs': -1, 'n_neighbors': 17};adasyn;15;0.7529054418943895;0.5955174948882302;0.10407878240694216;0.47961843097455786;0.6562234099211148
CLF_153;KNN;{'n_jobs': -1, 'n_neighbors': 19};-;-;0.9675905745261767;0.4999242424242424;0.0;0.4917641734871583;0.6132603287510155
CLF_154;KNN;{'n_jobs': -1, 'n_neighbors': 19};undersampling;-;0.59085799179402;0.5864888460036299;0.08341392997307633;0.4090864801282884;0.6078579896595009
CLF_155;KNN;{'n_jobs': -1, 'n_neighbors': 19};oversampling;-;0.7618503688818222;0.5781693546534334;0.0947870739178583;0.47830734111315926;0.6119782888155105
